year,exam_id,question_id,stage,typeA,examKind,qCategory,qSubcategory
1585,Ecb09eb029ce3,Q8c572b3f8dd9,,대과,별시,,
1586,Ed3d517061af1,Qfd2a507ca5ff,,대과,알성시,表,
1586,Edccfaa0adaf1,Q6853e615ebbf,전시,대과,별시,策,
1586,Ef97fa52dd9a3,Q1d840115d80e,,대과,중시,,
1588,Ed82973dd4112,Q8e10a8b97705,복시,소과,식년시,賦,
1588,E757fa4023911,Q10785111177b,,대과,식년시,,
1588,Eba47dfa492ca,Q0bcba5b4dba0,,대과,알성시,表,
1589,Eb4b6b974aa50,Qed342264b686,복시,소과,증광시,,
1589,E180bc3303cf0,Q2a32ada87bc9,,대과,증광시,,
1590,E9c9498719b0f,Q5d1227a9ad63,,대과,증광시,表,
1590,Ed1f2f9c19c2b,Q769c2f97e345,,소과,증광시,,
1591,E6f201c35f0d4,Qd379fcce1af3,,,,,
1591,E07aa3f0f3f3b,Q1614a54907e8,전시,대과,식년시,,
1591,E3085511a4725,Q71d35818d8df,,대과,별시,,
1592,E80c6a7f418ca,Qf3898c1478f1,,대과,용만별시,賦,
1593,E3c8b97f37155,Qde8728fa00fe,,대과,전주별시,表,
1594,Ed87b5abb1206,Qe6b06a3b01db,,대과,정시,表,
1594,Efbcaed29e258,Q8267f9aed870,,대과,정시2,,
1594,Efbf3130338ed,Q8c263792ad3e,,대과,별시,表,
1595,E9e1440e9a14b,Q1802b4d0cfd6,전시,대과,해주별시,表,
1595,E37f8264586eb,Q72e5e31e3056,전시,대과,별시,表,
1596,E27abfbc277a4,Q0a5379c6f53e,전시,대과,정시,表,
1597,E0252a44c1230,Q6ed33e63ef03,전시,대과,별시,,
1597,Eb483f8cd3810,Q1a223c006d25,전시,대과,중시,表,
1597,Ed269ac36c15c,Qd44b8f7fde1e,전시,대과,정시,表,
1597,E6d7d8b435334,Qf50279087893,전시,대과,알성시,表,
1599,Eb1c82e4d6b9b,Q06ef09bbc761,전시,대과,정시,表,
1599,E6caac75cd6e9,Qf44b08ab0380,전시,대과,별시,策,
1600,Ead172b3af4be,Q246f0ee57801,전시,대과,별시,策,
1601,Ec8df7bd96ad6,Qe41bb8003411,초시,소과,식년시,,
1601,Ec416aad547c6,Q65858232b2ac,초시,소과,식년시,,
1601,Efe3c83b91b22,Q59de5950f346,복시,소과,식년시,,
1601,E5f7aba1ed6a2,Q883260af8db5,복시,소과,식년시,,
